scene;mesh_a;mesh_b;mesh_path_a;mesh_path_b;mean_a_to_b;mean_b_to_a;median_a_to_b;median_b_to_a;max_a_to_b;max_b_to_a;pred_to_gt_mean;gt_to_pred_mean;gt_to_pred_median;gt_to_pred_max;chamfer;hausdorff;precision;recall;fscore;threshold;sample_points;sampling_method;semantics;roi_pred_to_gt_mean;roi_pred_to_gt_median;roi_pred_to_gt_max;roi_precision;roi_num_pred_points;aligned_with_icp;icp_fitness;icp_inlier_rmse;icp_threshold;icp_sample_points;aligned_mesh_path;used_global_registration;global_registration_fitness;global_registration_inlier_rmse;global_registration_voxel_size
NewBlend_BRDFFull_iter15000;NewBlend_BRDFFull_iter15000;blender_gt;output\NewBlend_BRDFFull\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09042727222214465;;0.06145660434129617;;0.7248759872979025;;0.09042727222214465;0.06145660434129617;0.7248759872979025;;;;0.00436;;0.01;100000;uniform;gt_only;0.9883615911253342;0.7967616149822843;3.566.418.251.614.020;0.014813437461261932;16134;FALSE;;;;;;FALSE;;;
NewBlend_BRDFFull-Evenfiner_iter15000;NewBlend_BRDFFull-Evenfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Evenfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09107281448327866;;0.0618398422708846;;0.7055258975936971;;0.09107281448327866;0.0618398422708846;0.7055258975936971;;;;0.00241;;0.01;100000;uniform;gt_only;0.985051451429773;0.7888862733046488;3.504.619.445.405.860;0.008246231419717422;19039;FALSE;;;;;;FALSE;;;
NewBlend_BRDFFull-Highdetail_iter15000;NewBlend_BRDFFull-Highdetail_iter15000;blender_gt;output\NewBlend_BRDFFull-Highdetail\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08969236465736276;;0.0609899535360971;;0.7246818685398152;;0.08969236465736276;0.0609899535360971;0.7246818685398152;;;;0.00422;;0.01;100000;uniform;gt_only;0.980591609900992;0.7808490506661814;3.585.208.504.085.840;0.014779235174579715;16239;FALSE;;;;;;FALSE;;;
NewBlend_BRDFFull-Saferfiner_iter15000;NewBlend_BRDFFull-Saferfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Saferfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09120755706168132;;0.062136366820105024;;0.7209999755332103;;0.09120755706168132;0.062136366820105024;0.7209999755332103;;;;0.00297;;0.01;100000;uniform;gt_only;0.9786585625001352;0.7741528206838768;3.564.290.801.576.740;0.010530094531530454;16714;FALSE;;;;;;FALSE;;;
NewBlend_BRDFReadyRoughness0_iter15000;NewBlend_BRDFReadyRoughness0_iter15000;blender_gt;output\NewBlend_BRDFReadyRoughness0\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08654732518595144;;0.06313166612187981;;0.760162391048427;;0.08654732518595144;0.06313166612187981;0.760162391048427;;;;0.0039;;0.01;100000;uniform;gt_only;0.9893261272310786;0.7870560037008729;35.852.176.538.029.100;0.014957685494981303;15243;FALSE;;;;;;FALSE;;;
NewBlend_BRDFTrialBackRoughnessAddMetallic0.1_iter15000;NewBlend_BRDFTrialBackRoughnessAddMetallic0.1_iter15000;blender_gt;output\NewBlend_BRDFTrialBackRoughnessAddMetallic0.1\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09821658365273739;;0.06162445745720046;;0.8605584142843746;;0.09821658365273739;0.06162445745720046;0.8605584142843746;;;;0.00284;;0.01;100000;uniform;gt_only;0.982295136506604;0.7707084204915001;3.582.748.142.597.370;0.011166175271312967;15941;FALSE;;;;;;FALSE;;;
NewBlend_BRDFTrialBackRoughnessAddMetallic0.4_iter15000;NewBlend_BRDFTrialBackRoughnessAddMetallic0.4_iter15000;blender_gt;output\NewBlend_BRDFTrialBackRoughnessAddMetallic0.4\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.11153589398152657;;0.09675687325569343;;0.4464107647918263;;0.11153589398152657;0.09675687325569343;0.4464107647918263;;;;0.00292;;0.01;100000;uniform;gt_only;0.9668401630116447;0.7096728873383135;3.603.683.959.369.370;0.005410227632449855;34749;FALSE;;;;;;FALSE;;;
NewBlend_BRDFTrialBitMoreRoughnes0.1_iter15000;NewBlend_BRDFTrialBitMoreRoughnes0.1_iter15000;blender_gt;output\NewBlend_BRDFTrialBitMoreRoughnes0.1\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09674397278635184;;0.06449021657147486;;0.7645012596167114;;0.09674397278635184;0.06449021657147486;0.7645012596167114;;;;0.00203;;0.01;100000;uniform;gt_only;1.020.559.916.588.850;0.8343385961775095;3.592.145.519.180.410;0.00762858334823291;16779;FALSE;;;;;;FALSE;;;
NewBlend_FalloffAndSpotOff_iter15000;NewBlend_FalloffAndSpotOff_iter15000;blender_gt;output\NewBlend_FalloffAndSpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09084401794585736;;0.06186448941445198;;0.7301089855598325;;0.09084401794585736;0.06186448941445198;0.7301089855598325;;;;0.00387;;0.01;100000;uniform;gt_only;1.013.681.827.298.370;0.8230511147337416;3.597.523.251.724.720;0.013237563813368158;16846;FALSE;;;;;;FALSE;;;
NewBlend_FalloffOff_iter15000;NewBlend_FalloffOff_iter15000;blender_gt;output\NewBlend_FalloffOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08551501526616614;;0.060659224398448036;;0.7808956609184421;;0.08551501526616614;0.060659224398448036;0.7808956609184421;;;;0.00473;;0.01;100000;uniform;gt_only;0.9856575573021286;0.7862301725997503;35.681.073.371.199.900;0.016064493350594327;16994;FALSE;;;;;;FALSE;;;
NewBlend_FullBRDFOnlyCenterCam_iter15000;NewBlend_FullBRDFOnlyCenterCam_iter15000;blender_gt;output\NewBlend_FullBRDFOnlyCenterCam\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09052800062199655;;0.06056707171028637;;0.790658637992907;;0.09052800062199655;0.06056707171028637;0.790658637992907;;;;0.00458;;0.01;100000;uniform;gt_only;0.9723007146008527;0.7640655356555801;36.011.807.948.502.000;0.015442628838211528;16707;FALSE;;;;;;FALSE;;;
NewBlend_ImproveLoss_iter15000;NewBlend_ImproveLoss_iter15000;blender_gt;output\NewBlend_ImproveLoss\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08576281729901855;;0.0571410304611715;;0.8079026353077541;;0.08576281729901855;0.0571410304611715;0.8079026353077541;;;;0.00509;;0.01;100000;uniform;gt_only;0.988329295715117;0.7914613884881503;34.795.748.517.751.500;0.015225806451612903;19375;FALSE;;;;;;FALSE;;;
NewBlend_ImproveLossLastV3Finished_iter15000;NewBlend_ImproveLossLastV3Finished_iter15000;blender_gt;output\NewBlend_ImproveLossLastV3Finished\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.0842819038849525;;0.06646977945921174;;0.6911975385996134;;0.0842819038849525;0.06646977945921174;0.6911975385996134;;;;0.00337;;0.01;100000;uniform;gt_only;10.325.725.227.649.000;0.8341402284868831;35.888.632.886.186.200;0.008130762782900251;23860;FALSE;;;;;;FALSE;;;
NewBlend_ImproveLossV2_iter15000;NewBlend_ImproveLossV2_iter15000;blender_gt;output\NewBlend_ImproveLossV2\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09263350335565647;;0.06659314359508639;;0.8040924250061653;;0.09263350335565647;0.06659314359508639;0.8040924250061653;;;;0.00354;;0.01;100000;uniform;gt_only;0.9799874890700873;0.7753995255396944;35.549.146.035.115.500;0.013390988980331985;14338;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnel_iter15000;NewBlend_IntroduceGGXFresnel_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnel\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08874179858709809;;0.06302851327567205;;0.7140298754620651;;0.08874179858709809;0.06302851327567205;0.7140298754620651;;;;0.00375;;0.01;100000;uniform;gt_only;10.115.500.290.883.200;0.8457287058275793;35.558.537.210.543.500;0.012249509424986621;16817;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000;NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelBackwardComplete\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09011033894606636;;0.06333177198683362;;0.7912252909353102;;0.09011033894606636;0.06333177198683362;0.7912252909353102;;;;0.00387;;0.01;100000;uniform;gt_only;0.9602071208561939;0.7625047753427281;36.172.265.932.125.700;0.014557041109583906;16006;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelCompletely_iter15000;NewBlend_IntroduceGGXFresnelCompletely_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelCompletely\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09933297025808804;;0.0600727413576885;;0.8175058480113501;;0.09933297025808804;0.0600727413576885;0.8175058480113501;;;;0.00559;;0.01;100000;uniform;gt_only;1.006.135.941.248.950;0.8419915501764712;35.781.950.574.085.500;0.014705189235047367;21217;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelSeparationComplete_iter15000;NewBlend_IntroduceGGXFresnelSeparationComplete_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelSeparationComplete\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08992846787836276;;0.059010342667840054;;0.746873236748239;;0.08992846787836276;0.059010342667840054;0.746873236748239;;;;0.00448;;0.01;100000;uniform;gt_only;0.998509629233517;0.7847802810813037;35.805.807.941.353.800;0.015017769116129773;17446;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000;NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelTrueRGBSpec\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09273390426093708;;0.06404277707801492;;0.8303780267861829;;0.09273390426093708;0.06404277707801492;0.8303780267861829;;;;0.0044;;0.01;100000;uniform;gt_only;10.604.969.967.482.000;0.89904646561985;35.473.049.335.221.900;0.015042346100366578;15822;FALSE;;;;;;FALSE;;;
NewBlend_SpotOff_iter15000;NewBlend_SpotOff_iter15000;blender_gt;output\NewBlend_SpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08928719301258584;;0.06122469036941561;;0.8154523049091394;;0.08928719301258584;0.06122469036941561;0.8154523049091394;;;;0.00403;;0.01;100000;uniform;gt_only;1.012.239.541.716.460;0.8449279179353334;35.954.709.990.186.800;0.012298798458399455;17644;FALSE;;;;;;FALSE;;;
NewBlendTest_Standard2DGS_iter15000;NewBlendTest_Standard2DGS_iter15000;blender_gt;output\NewBlendTest_Standard2DGS\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08371018817164234;;0.059088444729234704;;0.7838542509818351;;0.08371018817164234;0.059088444729234704;0.7838542509818351;;;;0.00304;;0.01;100000;uniform;gt_only;0.9662341575481574;0.7579544426666474;35.572.659.305.520.100;0.010765479093558556;16813;FALSE;;;;;;FALSE;;;
NewBlendTest_WithVersionRemovedConfidenceOnly_iter15000;NewBlendTest_WithVersionRemovedConfidenceOnly_iter15000;blender_gt;output\NewBlendTest_WithVersionRemovedConfidenceOnly\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09056973580495405;;0.06197954527029502;;0.7339084240647908;;0.09056973580495405;0.06197954527029502;0.7339084240647908;;;;0.00405;;0.01;100000;uniform;gt_only;0.9882989076569046;0.802072400155534;35.628.215.921.006.800;0.013299520991828684;17745;FALSE;;;;;;FALSE;;;
Outside(Ambient)GaussianActuallyMoveTestTbehind_iter15000;Outside(Ambient)GaussianActuallyMoveTestTbehind_iter15000;blender_gt;output\Outside(Ambient)GaussianActuallyMoveTestTbehind\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;14.066.680.647.168.500;;13.818.756.677.708.100;;29.675.174.778.791.200;;14.066.680.647.168.500;13.818.756.677.708.100;29.675.174.778.791.200;;;;0.0;;0.01;100000;uniform;gt_only;18.558.961.566.722.600;18.556.908.308.938.900;31.023.984.424.487.200;0.0;6552;FALSE;;;;;;FALSE;;;
OutsideConsistencyLossCheap_iter15000;OutsideConsistencyLossCheap_iter15000;blender_gt;output\OutsideConsistencyLossCheap\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;2.249.596.178.192.170;;2.257.383.155.929.960;;33.166.907.111.121.700;;2.249.596.178.192.170;2.257.383.155.929.960;33.166.907.111.121.700;;;;0.0;;0.01;100000;uniform;gt_only;22.999.642.242.103.700;2.329.831.767.803.600;314.225.717.577.519;0.0;4956;FALSE;;;;;;FALSE;;;
OutsideConsistencyLossMoreCostly_iter15000;OutsideConsistencyLossMoreCostly_iter15000;blender_gt;output\OutsideConsistencyLossMoreCostly\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;16.033.791.360.899.500;;16.639.010.133.737.900;;2.947.165.543.458.580;;16.033.791.360.899.500;16.639.010.133.737.900;2.947.165.543.458.580;;;;0.0;;0.01;100000;uniform;gt_only;20.969.079.084.838.400;20.203.757.508.192.100;3.163.292.814.968.650;0.0;5466;FALSE;;;;;;FALSE;;;
OutsideConsistencyLossV2_iter15000;OutsideConsistencyLossV2_iter15000;blender_gt;output\OutsideConsistencyLossV2\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;2.181.634.554.244.380;;22.844.912.269.780.700;;3.096.973.803.233.300;;2.181.634.554.244.380;22.844.912.269.780.700;3.096.973.803.233.300;;;;0.0;;0.01;100000;uniform;gt_only;1.987.505.406.549.110;20.657.986.328.222.500;3.256.614.774.373.440;0.0;4825;FALSE;;;;;;FALSE;;;
OutsideSurfaceRegualrization_iter15000;OutsideSurfaceRegualrization_iter15000;blender_gt;output\OutsideSurfaceRegualrization\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;16.153.003.638.616.200;;16.299.029.071.398.000;;30.182.016.463.550.000;;16.153.003.638.616.200;16.299.029.071.398.000;30.182.016.463.550.000;;;;0.0;;0.01;100000;uniform;gt_only;18.062.725.111.789.500;1.840.677.820.494.940;3.021.694.493.331.130;0.0;9313;FALSE;;;;;;FALSE;;;
VaseClean_FixedAllGradients_AllOn_iter15000;VaseClean_FixedAllGradients_AllOn_iter15000;blender_gt;output\VaseClean_FixedAllGradients_AllOn\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;23.172.934.343.664.800;;22.894.807.949.647.600;;44.659.890.122.793.700;;23.172.934.343.664.800;22.894.807.949.647.600;44.659.890.122.793.700;;;;0.0;;0.01;100000;uniform;gt_only;24.201.778.955.534.500;2.365.382.304.625.810;31.772.931.688.822.200;0.0;2850;FALSE;;;;;;FALSE;;;
VaseClean_MoveTestTBehind_iter15000;VaseClean_MoveTestTBehind_iter15000;blender_gt;output\VaseClean_MoveTestTBehind\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;2.305.259.980.377.990;;23.022.337.981.355.800;;4.360.377.336.583.290;;2.305.259.980.377.990;23.022.337.981.355.800;4.360.377.336.583.290;;;;0.0;;0.01;100000;uniform;gt_only;23.596.045.107.542.100;23.012.117.129.527.900;3.125.669.485.860.150;0.0;1410;FALSE;;;;;;FALSE;;;
VaseClean_NowAllOff_iter15000;VaseClean_NowAllOff_iter15000;blender_gt;output\VaseClean_NowAllOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;19.364.047.588.005.300;;1.739.836.659.956.030;;4.165.304.018.272.050;;19.364.047.588.005.300;1.739.836.659.956.030;4.165.304.018.272.050;;;;0.0;;0.01;100000;uniform;gt_only;22.246.207.107.134.200;22.461.330.710.817.600;30.105.301.588.333.900;0.0;5634;FALSE;;;;;;FALSE;;;
VaseClean_SplitDiffuseToPartsWithFixes_iter15000;VaseClean_SplitDiffuseToPartsWithFixes_iter15000;blender_gt;output\VaseClean_SplitDiffuseToPartsWithFixes\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;2.236.785.109.582.270;;2.037.137.892.112.160;;5.042.955.952.206.580;;2.236.785.109.582.270;2.037.137.892.112.160;5.042.955.952.206.580;;;;0.0;;0.01;100000;uniform;gt_only;2.003.698.932.517.550;18.648.810.698.092.800;2.929.598.653.759.340;0.0;1752;FALSE;;;;;;FALSE;;;
