scene;mesh_a;mesh_b;mesh_path_a;mesh_path_b;mean_a_to_b;mean_b_to_a;median_a_to_b;median_b_to_a;max_a_to_b;max_b_to_a;pred_to_gt_mean;gt_to_pred_mean;gt_to_pred_median;gt_to_pred_max;chamfer;hausdorff;precision;recall;fscore;threshold;sample_points;sampling_method;semantics;aligned_with_icp;icp_fitness;icp_inlier_rmse;icp_threshold;icp_sample_points;aligned_mesh_path;used_global_registration;global_registration_fitness;global_registration_inlier_rmse;global_registration_voxel_size
NewBlend_BRDFFull_iter15000;NewBlend_BRDFFull_iter15000;blender_gt;output\NewBlend_BRDFFull\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08901221427514967;;0.06060219038960353;;0.7175400886308535;;0.08901221427514967;0.06060219038960353;0.7175400886308535;;;;0.00448;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFFull-Evenfiner_iter15000;NewBlend_BRDFFull-Evenfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Evenfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09095433760159796;;0.06180969746813367;;0.707543750850535;;0.09095433760159796;0.06180969746813367;0.707543750850535;;;;0.0023;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFFull-Highdetail_iter15000;NewBlend_BRDFFull-Highdetail_iter15000;blender_gt;output\NewBlend_BRDFFull-Highdetail\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09027471506762405;;0.0620024784155636;;0.7201062872547985;;0.09027471506762405;0.0620024784155636;0.7201062872547985;;;;0.00434;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFFull-Saferfiner_iter15000;NewBlend_BRDFFull-Saferfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Saferfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09187962248077884;;0.06306848881049189;;0.7255694354833662;;0.09187962248077884;0.06306848881049189;0.7255694354833662;;;;0.00266;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFReadyRoughness0_iter15000;NewBlend_BRDFReadyRoughness0_iter15000;blender_gt;output\NewBlend_BRDFReadyRoughness0\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.0856017801877838;;0.06193548654727916;;0.760174393694966;;0.0856017801877838;0.06193548654727916;0.760174393694966;;;;0.00374;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFTrialBackRoughnessAddMetallic0.1_iter15000;NewBlend_BRDFTrialBackRoughnessAddMetallic0.1_iter15000;blender_gt;output\NewBlend_BRDFTrialBackRoughnessAddMetallic0.1\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09893449964286223;;0.062452034394737205;;0.8689348132818707;;0.09893449964286223;0.062452034394737205;0.8689348132818707;;;;0.0027;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFTrialBackRoughnessAddMetallic0.4_iter15000;NewBlend_BRDFTrialBackRoughnessAddMetallic0.4_iter15000;blender_gt;output\NewBlend_BRDFTrialBackRoughnessAddMetallic0.4\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.11070188678909018;;0.09628657118340862;;0.44271139830425754;;0.11070188678909018;0.09628657118340862;0.44271139830425754;;;;0.003;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFTrialBitMoreRoughnes0.1_iter15000;NewBlend_BRDFTrialBitMoreRoughnes0.1_iter15000;blender_gt;output\NewBlend_BRDFTrialBitMoreRoughnes0.1\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09561182146141484;;0.0645499797529594;;0.7668994668633691;;0.09561182146141484;0.0645499797529594;0.7668994668633691;;;;0.00186;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_FalloffAndSpotOff_iter15000;NewBlend_FalloffAndSpotOff_iter15000;blender_gt;output\NewBlend_FalloffAndSpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09070185785550453;;0.06138620887104314;;0.7314026726647642;;0.09070185785550453;0.06138620887104314;0.7314026726647642;;;;0.00388;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_FalloffOff_iter15000;NewBlend_FalloffOff_iter15000;blender_gt;output\NewBlend_FalloffOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08623724574566449;;0.060743280450014425;;0.7867078746665646;;0.08623724574566449;0.060743280450014425;0.7867078746665646;;;;0.00458;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_FullBRDFOnlyCenterCam_iter15000;NewBlend_FullBRDFOnlyCenterCam_iter15000;blender_gt;output\NewBlend_FullBRDFOnlyCenterCam\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09082197374706577;;0.060801629838430724;;0.787377489243256;;0.09082197374706577;0.060801629838430724;0.787377489243256;;;;0.00412;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_ImproveLoss_iter15000;NewBlend_ImproveLoss_iter15000;blender_gt;output\NewBlend_ImproveLoss\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08547346918916268;;0.057032386802015334;;0.805018012863761;;0.08547346918916268;0.057032386802015334;0.805018012863761;;;;0.00476;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_ImproveLossLastV3Finished_iter15000;NewBlend_ImproveLossLastV3Finished_iter15000;blender_gt;output\NewBlend_ImproveLossLastV3Finished\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08327338378214541;;0.0656681683220516;;0.7118292128160971;;0.08327338378214541;0.0656681683220516;0.7118292128160971;;;;0.00324;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_ImproveLossV2_iter15000;NewBlend_ImproveLossV2_iter15000;blender_gt;output\NewBlend_ImproveLossV2\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09309528866185444;;0.06690667865123284;;0.8056034049143418;;0.09309528866185444;0.06690667865123284;0.8056034049143418;;;;0.00342;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnel_iter15000;NewBlend_IntroduceGGXFresnel_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnel\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.0894381211368892;;0.06333695984898224;;0.705266065368133;;0.0894381211368892;0.06333695984898224;0.705266065368133;;;;0.00374;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000;NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelBackwardComplete\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08909167639088533;;0.0631765666567601;;0.795072864054583;;0.08909167639088533;0.0631765666567601;0.795072864054583;;;;0.00373;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelCompletely_iter15000;NewBlend_IntroduceGGXFresnelCompletely_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelCompletely\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09865683342348303;;0.05971147359946168;;0.8143771319112721;;0.09865683342348303;0.05971147359946168;0.8143771319112721;;;;0.00617;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelSeparationComplete_iter15000;NewBlend_IntroduceGGXFresnelSeparationComplete_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelSeparationComplete\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08924433968377772;;0.0582779678753335;;0.7498759429498084;;0.08924433968377772;0.0582779678753335;0.7498759429498084;;;;0.00486;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000;NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelTrueRGBSpec\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09107682528490861;;0.06144566862412224;;0.847150917497258;;0.09107682528490861;0.06144566862412224;0.847150917497258;;;;0.00403;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_SpotOff_iter15000;NewBlend_SpotOff_iter15000;blender_gt;output\NewBlend_SpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08857084550576168;;0.060858585039028086;;0.8102283652825475;;0.08857084550576168;0.060858585039028086;0.8102283652825475;;;;0.00435;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlendTest_Standard2DGS_iter15000;NewBlendTest_Standard2DGS_iter15000;blender_gt;output\NewBlendTest_Standard2DGS\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08360992441979828;;0.058623986416827235;;0.7710632354732394;;0.08360992441979828;0.058623986416827235;0.7710632354732394;;;;0.00365;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlendTest_WithVersionRemovedConfidenceOnly_iter15000;NewBlendTest_WithVersionRemovedConfidenceOnly_iter15000;blender_gt;output\NewBlendTest_WithVersionRemovedConfidenceOnly\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09055700054624193;;0.06180018045220384;;0.7295087823850637;;0.09055700054624193;0.06180018045220384;0.7295087823850637;;;;0.00374;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
Outside(Ambient)GaussianActuallyMoveTestTbehind_iter15000;Outside(Ambient)GaussianActuallyMoveTestTbehind_iter15000;blender_gt;output\Outside(Ambient)GaussianActuallyMoveTestTbehind\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;14.009.118.779.203.800;;13.771.278.770.359.100;;29.508.228.510.280.500;;14.009.118.779.203.800;13.771.278.770.359.100;29.508.228.510.280.500;;;;0.0;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
OutsideConsistencyLossCheap_iter15000;OutsideConsistencyLossCheap_iter15000;blender_gt;output\OutsideConsistencyLossCheap\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;2.254.837.505.170.120;;2.261.813.853.604.750;;33.249.919.671.445.200;;2.254.837.505.170.120;2.261.813.853.604.750;33.249.919.671.445.200;;;;0.0;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
OutsideConsistencyLossMoreCostly_iter15000;OutsideConsistencyLossMoreCostly_iter15000;blender_gt;output\OutsideConsistencyLossMoreCostly\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;1.616.887.792.243.190;;16.762.771.765.836.500;;29.364.927.316.743.000;;1.616.887.792.243.190;16.762.771.765.836.500;29.364.927.316.743.000;;;;0.0;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
OutsideConsistencyLossV2_iter15000;OutsideConsistencyLossV2_iter15000;blender_gt;output\OutsideConsistencyLossV2\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;2.187.081.170.042.720;;22.915.593.445.789.000;;31.101.863.127.800.700;;2.187.081.170.042.720;22.915.593.445.789.000;31.101.863.127.800.700;;;;0.0;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
OutsideSurfaceRegualrization_iter15000;OutsideSurfaceRegualrization_iter15000;blender_gt;output\OutsideSurfaceRegualrization\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;16.103.235.140.705.400;;16.229.121.573.939.300;;3.008.896.981.047.310;;16.103.235.140.705.400;16.229.121.573.939.300;3.008.896.981.047.310;;;;0.0;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
VaseClean_FixedAllGradients_AllOn_iter15000;VaseClean_FixedAllGradients_AllOn_iter15000;blender_gt;output\VaseClean_FixedAllGradients_AllOn\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;23.159.926.247.924.200;;2.282.153.067.681.040;;4.473.210.578.637.050;;23.159.926.247.924.200;2.282.153.067.681.040;4.473.210.578.637.050;;;;0.0;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
VaseClean_MoveTestTBehind_iter15000;VaseClean_MoveTestTBehind_iter15000;blender_gt;output\VaseClean_MoveTestTBehind\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;2.303.158.978.934.780;;2.302.614.548.135.050;;4.340.904.204.266.980;;2.303.158.978.934.780;2.302.614.548.135.050;4.340.904.204.266.980;;;;0.0;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
VaseClean_NowAllOff_iter15000;VaseClean_NowAllOff_iter15000;blender_gt;output\VaseClean_NowAllOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;19.344.988.820.481.200;;17.410.855.195.130.000;;4.156.242.286.814.480;;19.344.988.820.481.200;17.410.855.195.130.000;4.156.242.286.814.480;;;;0.0;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
VaseClean_SplitDiffuseToPartsWithFixes_iter15000;VaseClean_SplitDiffuseToPartsWithFixes_iter15000;blender_gt;output\VaseClean_SplitDiffuseToPartsWithFixes\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;2.237.213.066.543.790;;20.358.260.811.299;;5.045.991.048.872.350;;2.237.213.066.543.790;20.358.260.811.299;5.045.991.048.872.350;;;;0.0;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
